POSIÇÃO INICIAL: 50
================================
Movimento: L4      | 50 -> 46 
Movimento: R71     | 55 -> 26 
Movimento: R44     | 26 -> 70 
Movimento: L47     | 70 -> 23 
Movimento: L484    | 23 -> 39 
Movimento: L739    | 39 -> 00 <-- ZERO
Movimento: R3      | 00 -> 03 
Movimento: L56     | 03 -> 47 
Movimento: L53     | 47 -> 94 
Movimento: R6      | 94 -> 00 <-- ZERO
Movimento: R11     | 00 -> 11 
Movimento: R740    | 11 -> 51 
Movimento: L37     | 51 -> 14 
Movimento: L57     | 14 -> 57 
Movimento: L89     | 57 -> 68 
Movimento: R34     | 68 -> 02 
Movimento: R20     | 02 -> 22 
Movimento: L91     | 22 -> 31 
Movimento: R73     | 31 -> 04 
Movimento: R10     | 04 -> 14 
Movimento: R84     | 14 -> 98 
Movimento: L41     | 98 -> 57 
Movimento: L57     | 57 -> 00 <-- ZERO
Movimento: L16     | 00 -> 84 
Movimento: L923    | 84 -> 61 
Movimento: R39     | 61 -> 00 <-- ZERO
Movimento: L25     | 00 -> 75 
Movimento: R757    | 75 -> 32 
Movimento: R268    | 32 -> 00 <-- ZERO
Movimento: L23     | 00 -> 77 
Movimento: L856    | 77 -> 21 
Movimento: L57     | 21 -> 64 
Movimento: L96     | 64 -> 68 
Movimento: R32     | 68 -> 00 <-- ZERO
Movimento: R52     | 00 -> 52 
Movimento: R999    | 52 -> 51 
Movimento: R84     | 51 -> 35 
Movimento: L616    | 35 -> 19 
Movimento: R81     | 19 -> 00 <-- ZERO
Movimento: L87     | 00 -> 13 
Movimento: R90     | 13 -> 03 
Movimento: R97     | 03 -> 00 <-- ZERO
Movimento: R25     | 00 -> 25 
Movimento: L68     | 25 -> 57 
Movimento: L57     | 57 -> 00 <-- ZERO
Movimento: R271    | 00 -> 71 
Movimento: R29     | 71 -> 00 <-- ZERO
Movimento: R41     | 00 -> 41 
Movimento: R959    | 41 -> 00 <-- ZERO
Movimento: R91     | 00 -> 91 
Movimento: R9      | 91 -> 00 <-- ZERO
Movimento: R48     | 00 -> 48 
Movimento: R52     | 48 -> 00 <-- ZERO
Movimento: L14     | 00 -> 86 
Movimento: R84     | 86 -> 70 
Movimento: R61     | 70 -> 31 
Movimento: R55     | 31 -> 86 
Movimento: R87     | 86 -> 73 
Movimento: L59     | 73 -> 14 
Movimento: R86     | 14 -> 00 <-- ZERO
Movimento: R17     | 00 -> 17 
Movimento: L70     | 17 -> 47 
Movimento: R141    | 47 -> 88 
Movimento: R12     | 88 -> 00 <-- ZERO
Movimento: R64     | 00 -> 64 
Movimento: L701    | 64 -> 63 
Movimento: R937    | 63 -> 00 <-- ZERO
Movimento: R17     | 00 -> 17 
Movimento: R85     | 17 -> 02 
Movimento: L75     | 02 -> 27 
Movimento: L436    | 27 -> 91 
Movimento: R9      | 91 -> 00 <-- ZERO
Movimento: L2      | 00 -> 98 
Movimento: L206    | 98 -> 92 
Movimento: L3      | 92 -> 89 
Movimento: L70     | 89 -> 19 
Movimento: R82     | 19 -> 01 
Movimento: L1      | 01 -> 00 <-- ZERO
Movimento: L762    | 00 -> 38 
Movimento: R96     | 38 -> 34 
Movimento: L34     | 34 -> 00 <-- ZERO
Movimento: L29     | 00 -> 71 
Movimento: R49     | 71 -> 20 
Movimento: L20     | 20 -> 00 <-- ZERO
Movimento: R15     | 00 -> 15 
Movimento: R221    | 15 -> 36 
Movimento: R77     | 36 -> 13 
Movimento: R615    | 13 -> 28 
Movimento: R72     | 28 -> 00 <-- ZERO
Movimento: L71     | 00 -> 29 
Movimento: R99     | 29 -> 28 
Movimento: R88     | 28 -> 16 
Movimento: R84     | 16 -> 00 <-- ZERO
Movimento: R83     | 00 -> 83 
Movimento: L63     | 83 -> 20 
Movimento: L476    | 20 -> 44 
Movimento: R97     | 44 -> 41 
Movimento: L75     | 41 -> 66 
Movimento: R371    | 66 -> 37 
Movimento: R56     | 37 -> 93 
Movimento: L98     | 93 -> 95 
Movimento: L69     | 95 -> 26 
Movimento: L26     | 26 -> 00 <-- ZERO
Movimento: L51     | 00 -> 49 
Movimento: L49     | 49 -> 00 <-- ZERO
Movimento: R55     | 00 -> 55 
Movimento: R17     | 55 -> 72 
Movimento: R6      | 72 -> 78 
Movimento: R330    | 78 -> 08 
Movimento: L49     | 08 -> 59 
Movimento: L90     | 59 -> 69 
Movimento: L69     | 69 -> 00 <-- ZERO
Movimento: R39     | 00 -> 39 
Movimento: L939    | 39 -> 00 <-- ZERO
Movimento: R56     | 00 -> 56 
Movimento: L48     | 56 -> 08 
Movimento: R92     | 08 -> 00 <-- ZERO
Movimento: L83     | 00 -> 17 
Movimento: R36     | 17 -> 53 
Movimento: L21     | 53 -> 32 
Movimento: R68     | 32 -> 00 <-- ZERO
Movimento: L717    | 00 -> 83 
Movimento: L62     | 83 -> 21 
Movimento: L66     | 21 -> 55 
Movimento: R27     | 55 -> 82 
Movimento: R595    | 82 -> 77 
Movimento: L15     | 77 -> 62 
Movimento: L34     | 62 -> 28 
Movimento: R730    | 28 -> 58 
Movimento: L80     | 58 -> 78 
Movimento: L78     | 78 -> 00 <-- ZERO
Movimento: L129    | 00 -> 71 
Movimento: L15     | 71 -> 56 
Movimento: R5      | 56 -> 61 
Movimento: R34     | 61 -> 95 
Movimento: R63     | 95 -> 58 
Movimento: R20     | 58 -> 78 
Movimento: L28     | 78 -> 50 
Movimento: L50     | 50 -> 00 <-- ZERO
Movimento: R29     | 00 -> 29 
Movimento: L22     | 29 -> 07 
Movimento: L7      | 07 -> 00 <-- ZERO
Movimento: L903    | 00 -> 97 
Movimento: L9      | 97 -> 88 
Movimento: R12     | 88 -> 00 <-- ZERO
Movimento: L85     | 00 -> 15 
Movimento: L15     | 15 -> 00 <-- ZERO
Movimento: L46     | 00 -> 54 
Movimento: L54     | 54 -> 00 <-- ZERO
Movimento: R13     | 00 -> 13 
Movimento: R92     | 13 -> 05 
Movimento: R11     | 05 -> 16 
Movimento: L987    | 16 -> 29 
Movimento: R71     | 29 -> 00 <-- ZERO
Movimento: R80     | 00 -> 80 
Movimento: R23     | 80 -> 03 
Movimento: R938    | 03 -> 41 
Movimento: R58     | 41 -> 99 
Movimento: R31     | 99 -> 30 
Movimento: R70     | 30 -> 00 <-- ZERO
Movimento: L26     | 00 -> 74 
Movimento: R26     | 74 -> 00 <-- ZERO
Movimento: R790    | 00 -> 90 
Movimento: R310    | 90 -> 00 <-- ZERO
Movimento: L11     | 00 -> 89 
Movimento: R11     | 89 -> 00 <-- ZERO
Movimento: R38     | 00 -> 38 
Movimento: R413    | 38 -> 51 
Movimento: R49     | 51 -> 00 <-- ZERO
Movimento: R43     | 00 -> 43 
Movimento: L343    | 43 -> 00 <-- ZERO
Movimento: L789    | 00 -> 11 
Movimento: R50     | 11 -> 61 
Movimento: L4      | 61 -> 57 
Movimento: R43     | 57 -> 00 <-- ZERO
Movimento: R83     | 00 -> 83 
Movimento: R74     | 83 -> 57 
Movimento: R23     | 57 -> 80 
Movimento: L80     | 80 -> 00 <-- ZERO
Movimento: R72     | 00 -> 72 
Movimento: R22     | 72 -> 94 
Movimento: L86     | 94 -> 08 
Movimento: L8      | 08 -> 00 <-- ZERO
Movimento: R3      | 00 -> 03 
Movimento: R23     | 03 -> 26 
Movimento: L926    | 26 -> 00 <-- ZERO
Movimento: R890    | 00 -> 90 
Movimento: R501    | 90 -> 91 
Movimento: L61     | 91 -> 30 
Movimento: L30     | 30 -> 00 <-- ZERO
Movimento: L4      | 00 -> 96 
Movimento: R34     | 96 -> 30 
Movimento: L54     | 30 -> 76 
Movimento: R24     | 76 -> 00 <-- ZERO
Movimento: L78     | 00 -> 22 
Movimento: R96     | 22 -> 18 
Movimento: L90     | 18 -> 28 
Movimento: L28     | 28 -> 00 <-- ZERO
Movimento: R64     | 00 -> 64 
Movimento: R936    | 64 -> 00 <-- ZERO
Movimento: L56     | 00 -> 44 
Movimento: R89     | 44 -> 33 
Movimento: R40     | 33 -> 73 
Movimento: L27     | 73 -> 46 
Movimento: R54     | 46 -> 00 <-- ZERO
Movimento: R43     | 00 -> 43 
Movimento: R37     | 43 -> 80 
Movimento: R50     | 80 -> 30 
Movimento: R770    | 30 -> 00 <-- ZERO
Movimento: R57     | 00 -> 57 
Movimento: R43     | 57 -> 00 <-- ZERO
Movimento: R16     | 00 -> 16 
Movimento: L1      | 16 -> 15 
Movimento: L15     | 15 -> 00 <-- ZERO
Movimento: R20     | 00 -> 20 
Movimento: R404    | 20 -> 24 
Movimento: L65     | 24 -> 59 
Movimento: R241    | 59 -> 00 <-- ZERO
Movimento: L90     | 00 -> 10 
Movimento: L10     | 10 -> 00 <-- ZERO
Movimento: L6      | 00 -> 94 
Movimento: R6      | 94 -> 00 <-- ZERO
Movimento: R564    | 00 -> 64 
Movimento: L854    | 64 -> 10 
Movimento: L75     | 10 -> 35 
Movimento: R94     | 35 -> 29 
Movimento: L58     | 29 -> 71 
Movimento: R29     | 71 -> 00 <-- ZERO
Movimento: L753    | 00 -> 47 
Movimento: L31     | 47 -> 16 
Movimento: L16     | 16 -> 00 <-- ZERO
Movimento: R18     | 00 -> 18 
Movimento: R982    | 18 -> 00 <-- ZERO
Movimento: R11     | 00 -> 11 
Movimento: L13     | 11 -> 98 
Movimento: R2      | 98 -> 00 <-- ZERO
Movimento: R18     | 00 -> 18 
Movimento: R82     | 18 -> 00 <-- ZERO
Movimento: R87     | 00 -> 87 
Movimento: R58     | 87 -> 45 
Movimento: R12     | 45 -> 57 
Movimento: L15     | 57 -> 42 
Movimento: R63     | 42 -> 05 
Movimento: R344    | 05 -> 49 
Movimento: R93     | 49 -> 42 
Movimento: R88     | 42 -> 30 
Movimento: L967    | 30 -> 63 
Movimento: R37     | 63 -> 00 <-- ZERO
Movimento: R44     | 00 -> 44 
Movimento: L62     | 44 -> 82 
Movimento: L82     | 82 -> 00 <-- ZERO
Movimento: R76     | 00 -> 76 
Movimento: R80     | 76 -> 56 
Movimento: L51     | 56 -> 05 
Movimento: R56     | 05 -> 61 
Movimento: R39     | 61 -> 00 <-- ZERO
Movimento: L656    | 00 -> 44 
Movimento: L44     | 44 -> 00 <-- ZERO
Movimento: R11     | 00 -> 11 
Movimento: R89     | 11 -> 00 <-- ZERO
Movimento: L96     | 00 -> 04 
Movimento: L4      | 04 -> 00 <-- ZERO
Movimento: L31     | 00 -> 69 
Movimento: L69     | 69 -> 00 <-- ZERO
Movimento: R39     | 00 -> 39 
Movimento: R61     | 39 -> 00 <-- ZERO
Movimento: L61     | 00 -> 39 
Movimento: L64     | 39 -> 75 
Movimento: L61     | 75 -> 14 
Movimento: L6      | 14 -> 08 
Movimento: R872    | 08 -> 80 
Movimento: R6      | 80 -> 86 
Movimento: R131    | 86 -> 17 
Movimento: R60     | 17 -> 77 
Movimento: L24     | 77 -> 53 
Movimento: R30     | 53 -> 83 
Movimento: L98     | 83 -> 85 
Movimento: L83     | 85 -> 02 
Movimento: R86     | 02 -> 88 
Movimento: R471    | 88 -> 59 
Movimento: R62     | 59 -> 21 
Movimento: L99     | 21 -> 22 
Movimento: R77     | 22 -> 99 
Movimento: L38     | 99 -> 61 
Movimento: L45     | 61 -> 16 
Movimento: L11     | 16 -> 05 
Movimento: L7      | 05 -> 98 
Movimento: R2      | 98 -> 00 <-- ZERO
Movimento: L52     | 00 -> 48 
Movimento: R89     | 48 -> 37 
Movimento: R98     | 37 -> 35 
Movimento: L70     | 35 -> 65 
Movimento: L94     | 65 -> 71 
Movimento: R51     | 71 -> 22 
Movimento: R89     | 22 -> 11 
Movimento: R44     | 11 -> 55 
Movimento: L55     | 55 -> 00 <-- ZERO
Movimento: L70     | 00 -> 30 
Movimento: L30     | 30 -> 00 <-- ZERO
Movimento: L76     | 00 -> 24 
Movimento: L907    | 24 -> 17 
Movimento: L34     | 17 -> 83 
Movimento: L39     | 83 -> 44 
Movimento: L818    | 44 -> 26 
Movimento: L226    | 26 -> 00 <-- ZERO
Movimento: L75     | 00 -> 25 
Movimento: R32     | 25 -> 57 
Movimento: L390    | 57 -> 67 
Movimento: L941    | 67 -> 26 
Movimento: L738    | 26 -> 88 
Movimento: L93     | 88 -> 95 
Movimento: R90     | 95 -> 85 
Movimento: R73     | 85 -> 58 
Movimento: R42     | 58 -> 00 <-- ZERO
Movimento: L34     | 00 -> 66 
Movimento: R134    | 66 -> 00 <-- ZERO
Movimento: R10     | 00 -> 10 
Movimento: L60     | 10 -> 50 
Movimento: L50     | 50 -> 00 <-- ZERO
Movimento: R28     | 00 -> 28 
Movimento: L46     | 28 -> 82 
Movimento: L66     | 82 -> 16 
Movimento: L581    | 16 -> 35 
Movimento: R465    | 35 -> 00 <-- ZERO
Movimento: L76     | 00 -> 24 
Movimento: L42     | 24 -> 82 
Movimento: R201    | 82 -> 83 
Movimento: R84     | 83 -> 67 
Movimento: L96     | 67 -> 71 
Movimento: R290    | 71 -> 61 
Movimento: R68     | 61 -> 29 
Movimento: L7      | 29 -> 22 
Movimento: R49     | 22 -> 71 
Movimento: R44     | 71 -> 15 
Movimento: R734    | 15 -> 49 
Movimento: L49     | 49 -> 00 <-- ZERO
Movimento: L82     | 00 -> 18 
Movimento: L417    | 18 -> 01 
Movimento: L1      | 01 -> 00 <-- ZERO
Movimento: R731    | 00 -> 31 
Movimento: R85     | 31 -> 16 
Movimento: R284    | 16 -> 00 <-- ZERO
Movimento: R50     | 00 -> 50 
Movimento: R74     | 50 -> 24 
Movimento: L322    | 24 -> 02 
Movimento: R27     | 02 -> 29 
Movimento: L15     | 29 -> 14 
Movimento: L14     | 14 -> 00 <-- ZERO
Movimento: R54     | 00 -> 54 
Movimento: L654    | 54 -> 00 <-- ZERO
Movimento: L65     | 00 -> 35 
Movimento: R965    | 35 -> 00 <-- ZERO
Movimento: R77     | 00 -> 77 
Movimento: L50     | 77 -> 27 
Movimento: R173    | 27 -> 00 <-- ZERO
Movimento: R79     | 00 -> 79 
Movimento: R521    | 79 -> 00 <-- ZERO
Movimento: R2      | 00 -> 02 
Movimento: R28     | 02 -> 30 
Movimento: L30     | 30 -> 00 <-- ZERO
Movimento: R472    | 00 -> 72 
Movimento: L72     | 72 -> 00 <-- ZERO
Movimento: R38     | 00 -> 38 
Movimento: R49     | 38 -> 87 
Movimento: L87     | 87 -> 00 <-- ZERO
Movimento: R49     | 00 -> 49 
Movimento: R99     | 49 -> 48 
Movimento: L48     | 48 -> 00 <-- ZERO
Movimento: R9      | 00 -> 09 
Movimento: R91     | 09 -> 00 <-- ZERO
Movimento: R62     | 00 -> 62 
Movimento: R538    | 62 -> 00 <-- ZERO
Movimento: R27     | 00 -> 27 
Movimento: L621    | 27 -> 06 
Movimento: L84     | 06 -> 22 
Movimento: L15     | 22 -> 07 
Movimento: L75     | 07 -> 32 
Movimento: L32     | 32 -> 00 <-- ZERO
Movimento: R68     | 00 -> 68 
Movimento: L55     | 68 -> 13 
Movimento: L149    | 13 -> 64 
Movimento: L964    | 64 -> 00 <-- ZERO
Movimento: L94     | 00 -> 06 
Movimento: L606    | 06 -> 00 <-- ZERO
Movimento: L576    | 00 -> 24 
Movimento: L42     | 24 -> 82 
Movimento: L79     | 82 -> 03 
Movimento: R77     | 03 -> 80 
Movimento: R20     | 80 -> 00 <-- ZERO
Movimento: L11     | 00 -> 89 
Movimento: R11     | 89 -> 00 <-- ZERO
Movimento: L27     | 00 -> 73 
Movimento: R42     | 73 -> 15 
Movimento: L72     | 15 -> 43 
Movimento: L343    | 43 -> 00 <-- ZERO
Movimento: R46     | 00 -> 46 
Movimento: R990    | 46 -> 36 
Movimento: L334    | 36 -> 02 
Movimento: R98     | 02 -> 00 <-- ZERO
Movimento: L38     | 00 -> 62 
Movimento: R485    | 62 -> 47 
Movimento: L47     | 47 -> 00 <-- ZERO
Movimento: R845    | 00 -> 45 
Movimento: L45     | 45 -> 00 <-- ZERO
Movimento: R14     | 00 -> 14 
Movimento: R495    | 14 -> 09 
Movimento: R91     | 09 -> 00 <-- ZERO
Movimento: R63     | 00 -> 63 
Movimento: L73     | 63 -> 90 
Movimento: L49     | 90 -> 41 
Movimento: L924    | 41 -> 17 
Movimento: R14     | 17 -> 31 
Movimento: L4      | 31 -> 27 
Movimento: R23     | 27 -> 50 
Movimento: R950    | 50 -> 00 <-- ZERO
Movimento: R829    | 00 -> 29 
Movimento: R6      | 29 -> 35 
Movimento: R81     | 35 -> 16 
Movimento: L86     | 16 -> 30 
Movimento: R70     | 30 -> 00 <-- ZERO
Movimento: R89     | 00 -> 89 
Movimento: R28     | 89 -> 17 
Movimento: R34     | 17 -> 51 
Movimento: R49     | 51 -> 00 <-- ZERO
Movimento: L88     | 00 -> 12 
Movimento: R925    | 12 -> 37 
Movimento: L19     | 37 -> 18 
Movimento: R367    | 18 -> 85 
Movimento: R25     | 85 -> 10 
Movimento: L7      | 10 -> 03 
Movimento: R14     | 03 -> 17 
Movimento: R83     | 17 -> 00 <-- ZERO
Movimento: R50     | 00 -> 50 
Movimento: R868    | 50 -> 18 
Movimento: L59     | 18 -> 59 
Movimento: R42     | 59 -> 01 
Movimento: L1      | 01 -> 00 <-- ZERO
Movimento: R914    | 00 -> 14 
Movimento: L97     | 14 -> 17 
Movimento: L61     | 17 -> 56 
Movimento: L56     | 56 -> 00 <-- ZERO
Movimento: R38     | 00 -> 38 
Movimento: L60     | 38 -> 78 
Movimento: R94     | 78 -> 72 
Movimento: R389    | 72 -> 61 
Movimento: R39     | 61 -> 00 <-- ZERO
Movimento: L12     | 00 -> 88 
Movimento: R69     | 88 -> 57 
Movimento: L66     | 57 -> 91 
Movimento: L91     | 91 -> 00 <-- ZERO
Movimento: R18     | 00 -> 18 
Movimento: L91     | 18 -> 27 
Movimento: L27     | 27 -> 00 <-- ZERO
Movimento: R24     | 00 -> 24 
Movimento: R76     | 24 -> 00 <-- ZERO
Movimento: L940    | 00 -> 60 
Movimento: L89     | 60 -> 71 
Movimento: R7      | 71 -> 78 
Movimento: L86     | 78 -> 92 
Movimento: R65     | 92 -> 57 
Movimento: L57     | 57 -> 00 <-- ZERO
Movimento: L70     | 00 -> 30 
Movimento: R38     | 30 -> 68 
Movimento: R81     | 68 -> 49 
Movimento: L49     | 49 -> 00 <-- ZERO
Movimento: R368    | 00 -> 68 
Movimento: L568    | 68 -> 00 <-- ZERO
Movimento: R36     | 00 -> 36 
Movimento: R76     | 36 -> 12 
Movimento: R19     | 12 -> 31 
Movimento: L31     | 31 -> 00 <-- ZERO
Movimento: R39     | 00 -> 39 
Movimento: L86     | 39 -> 53 
Movimento: L953    | 53 -> 00 <-- ZERO
Movimento: R2      | 00 -> 02 
Movimento: R45     | 02 -> 47 
Movimento: L204    | 47 -> 43 
Movimento: R57     | 43 -> 00 <-- ZERO
Movimento: L33     | 00 -> 67 
Movimento: L63     | 67 -> 04 
Movimento: R509    | 04 -> 13 
Movimento: R87     | 13 -> 00 <-- ZERO
Movimento: R93     | 00 -> 93 
Movimento: L93     | 93 -> 00 <-- ZERO
Movimento: R14     | 00 -> 14 
Movimento: R48     | 14 -> 62 
Movimento: R38     | 62 -> 00 <-- ZERO
Movimento: R75     | 00 -> 75 
Movimento: L75     | 75 -> 00 <-- ZERO
Movimento: R821    | 00 -> 21 
Movimento: L98     | 21 -> 23 
Movimento: R49     | 23 -> 72 
Movimento: R3      | 72 -> 75 
Movimento: R225    | 75 -> 00 <-- ZERO
Movimento: R30     | 00 -> 30 
Movimento: L23     | 30 -> 07 
Movimento: L37     | 07 -> 70 
Movimento: L86     | 70 -> 84 
Movimento: R28     | 84 -> 12 
Movimento: L612    | 12 -> 00 <-- ZERO
Movimento: L68     | 00 -> 32 
Movimento: L32     | 32 -> 00 <-- ZERO
Movimento: L93     | 00 -> 07 
Movimento: L98     | 07 -> 09 
Movimento: L9      | 09 -> 00 <-- ZERO
Movimento: R68     | 00 -> 68 
Movimento: R660    | 68 -> 28 
Movimento: R56     | 28 -> 84 
Movimento: L84     | 84 -> 00 <-- ZERO
Movimento: R74     | 00 -> 74 
Movimento: L99     | 74 -> 75 
Movimento: R25     | 75 -> 00 <-- ZERO
Movimento: R26     | 00 -> 26 
Movimento: R47     | 26 -> 73 
Movimento: R517    | 73 -> 90 
Movimento: L90     | 90 -> 00 <-- ZERO
Movimento: R70     | 00 -> 70 
Movimento: L48     | 70 -> 22 
Movimento: R50     | 22 -> 72 
Movimento: L34     | 72 -> 38 
Movimento: R62     | 38 -> 00 <-- ZERO
Movimento: R46     | 00 -> 46 
Movimento: R341    | 46 -> 87 
Movimento: R88     | 87 -> 75 
Movimento: L575    | 75 -> 00 <-- ZERO
Movimento: L965    | 00 -> 35 
Movimento: L193    | 35 -> 42 
Movimento: L20     | 42 -> 22 
Movimento: R78     | 22 -> 00 <-- ZERO
Movimento: L97     | 00 -> 03 
Movimento: R17     | 03 -> 20 
Movimento: L702    | 20 -> 18 
Movimento: L46     | 18 -> 72 
Movimento: L1      | 72 -> 71 
Movimento: R29     | 71 -> 00 <-- ZERO
Movimento: R78     | 00 -> 78 
Movimento: R52     | 78 -> 30 
Movimento: L15     | 30 -> 15 
Movimento: R85     | 15 -> 00 <-- ZERO
Movimento: R54     | 00 -> 54 
Movimento: R46     | 54 -> 00 <-- ZERO
Movimento: L74     | 00 -> 26 
Movimento: L26     | 26 -> 00 <-- ZERO
Movimento: L795    | 00 -> 05 
Movimento: R736    | 05 -> 41 
Movimento: L8      | 41 -> 33 
Movimento: L63     | 33 -> 70 
Movimento: R289    | 70 -> 59 
Movimento: R87     | 59 -> 46 
Movimento: L146    | 46 -> 00 <-- ZERO
Movimento: R627    | 00 -> 27 
Movimento: R13     | 27 -> 40 
Movimento: L94     | 40 -> 46 
Movimento: L56     | 46 -> 90 
Movimento: L92     | 90 -> 98 
Movimento: L90     | 98 -> 08 
Movimento: L285    | 08 -> 23 
Movimento: L39     | 23 -> 84 
Movimento: L284    | 84 -> 00 <-- ZERO
Movimento: L31     | 00 -> 69 
Movimento: L369    | 69 -> 00 <-- ZERO
Movimento: L69     | 00 -> 31 
Movimento: L31     | 31 -> 00 <-- ZERO
Movimento: L457    | 00 -> 43 
Movimento: R12     | 43 -> 55 
Movimento: R45     | 55 -> 00 <-- ZERO
Movimento: L13     | 00 -> 87 
Movimento: L87     | 87 -> 00 <-- ZERO
Movimento: R81     | 00 -> 81 
Movimento: R19     | 81 -> 00 <-- ZERO
Movimento: R32     | 00 -> 32 
Movimento: R87     | 32 -> 19 
Movimento: R67     | 19 -> 86 
Movimento: R887    | 86 -> 73 
Movimento: R127    | 73 -> 00 <-- ZERO
Movimento: L658    | 00 -> 42 
Movimento: L23     | 42 -> 19 
Movimento: R93     | 19 -> 12 
Movimento: R88     | 12 -> 00 <-- ZERO
Movimento: R44     | 00 -> 44 
Movimento: L44     | 44 -> 00 <-- ZERO
Movimento: R78     | 00 -> 78 
Movimento: L35     | 78 -> 43 
Movimento: L43     | 43 -> 00 <-- ZERO
Movimento: L30     | 00 -> 70 
Movimento: R30     | 70 -> 00 <-- ZERO
Movimento: R45     | 00 -> 45 
Movimento: R93     | 45 -> 38 
Movimento: L64     | 38 -> 74 
Movimento: L74     | 74 -> 00 <-- ZERO
Movimento: L65     | 00 -> 35 
Movimento: L635    | 35 -> 00 <-- ZERO
Movimento: L75     | 00 -> 25 
Movimento: L25     | 25 -> 00 <-- ZERO
Movimento: L248    | 00 -> 52 
Movimento: L52     | 52 -> 00 <-- ZERO
Movimento: L59     | 00 -> 41 
Movimento: L41     | 41 -> 00 <-- ZERO
Movimento: L790    | 00 -> 10 
Movimento: R82     | 10 -> 92 
Movimento: L92     | 92 -> 00 <-- ZERO
Movimento: R11     | 00 -> 11 
Movimento: R35     | 11 -> 46 
Movimento: L1      | 46 -> 45 
Movimento: L60     | 45 -> 85 
Movimento: R715    | 85 -> 00 <-- ZERO
Movimento: R98     | 00 -> 98 
Movimento: R702    | 98 -> 00 <-- ZERO
Movimento: R172    | 00 -> 72 
Movimento: L72     | 72 -> 00 <-- ZERO
Movimento: L65     | 00 -> 35 
Movimento: L96     | 35 -> 39 
Movimento: R75     | 39 -> 14 
Movimento: L22     | 14 -> 92 
Movimento: R846    | 92 -> 38 
Movimento: L38     | 38 -> 00 <-- ZERO
Movimento: R79     | 00 -> 79 
Movimento: L79     | 79 -> 00 <-- ZERO
Movimento: R78     | 00 -> 78 
Movimento: R22     | 78 -> 00 <-- ZERO
Movimento: R36     | 00 -> 36 
Movimento: R664    | 36 -> 00 <-- ZERO
Movimento: L30     | 00 -> 70 
Movimento: L70     | 70 -> 00 <-- ZERO
Movimento: L471    | 00 -> 29 
Movimento: R71     | 29 -> 00 <-- ZERO
Movimento: L17     | 00 -> 83 
Movimento: R46     | 83 -> 29 
Movimento: L61     | 29 -> 68 
Movimento: R575    | 68 -> 43 
Movimento: L92     | 43 -> 51 
Movimento: R31     | 51 -> 82 
Movimento: L9      | 82 -> 73 
Movimento: L855    | 73 -> 18 
Movimento: R853    | 18 -> 71 
Movimento: L71     | 71 -> 00 <-- ZERO
Movimento: L24     | 00 -> 76 
Movimento: R81     | 76 -> 57 
Movimento: R38     | 57 -> 95 
Movimento: L1      | 95 -> 94 
Movimento: L1      | 94 -> 93 
Movimento: R446    | 93 -> 39 
Movimento: R61     | 39 -> 00 <-- ZERO
Movimento: L42     | 00 -> 58 
Movimento: R50     | 58 -> 08 
Movimento: R604    | 08 -> 12 
Movimento: L912    | 12 -> 00 <-- ZERO
Movimento: R68     | 00 -> 68 
Movimento: L68     | 68 -> 00 <-- ZERO
Movimento: L50     | 00 -> 50 
Movimento: R50     | 50 -> 00 <-- ZERO
Movimento: L376    | 00 -> 24 
Movimento: L25     | 24 -> 99 
Movimento: L258    | 99 -> 41 
Movimento: L77     | 41 -> 64 
Movimento: R83     | 64 -> 47 
Movimento: R66     | 47 -> 13 
Movimento: L81     | 13 -> 32 
Movimento: R78     | 32 -> 10 
Movimento: R190    | 10 -> 00 <-- ZERO
Movimento: L759    | 00 -> 41 
Movimento: R45     | 41 -> 86 
Movimento: R66     | 86 -> 52 
Movimento: L39     | 52 -> 13 
Movimento: R11     | 13 -> 24 
Movimento: L67     | 24 -> 57 
Movimento: R43     | 57 -> 00 <-- ZERO
Movimento: R83     | 00 -> 83 
Movimento: L83     | 83 -> 00 <-- ZERO
Movimento: R48     | 00 -> 48 
Movimento: L48     | 48 -> 00 <-- ZERO
Movimento: L14     | 00 -> 86 
Movimento: L389    | 86 -> 97 
Movimento: R45     | 97 -> 42 
Movimento: L30     | 42 -> 12 
Movimento: L82     | 12 -> 30 
Movimento: L991    | 30 -> 39 
Movimento: R66     | 39 -> 05 
Movimento: L27     | 05 -> 78 
Movimento: R53     | 78 -> 31 
Movimento: L31     | 31 -> 00 <-- ZERO
Movimento: L723    | 00 -> 77 
Movimento: L77     | 77 -> 00 <-- ZERO
Movimento: L42     | 00 -> 58 
Movimento: R98     | 58 -> 56 
Movimento: R444    | 56 -> 00 <-- ZERO
Movimento: L528    | 00 -> 72 
Movimento: L72     | 72 -> 00 <-- ZERO
Movimento: L72     | 00 -> 28 
Movimento: R73     | 28 -> 01 
Movimento: L60     | 01 -> 41 
Movimento: L78     | 41 -> 63 
Movimento: R315    | 63 -> 78 
Movimento: L78     | 78 -> 00 <-- ZERO
Movimento: L75     | 00 -> 25 
Movimento: R194    | 25 -> 19 
Movimento: R818    | 19 -> 37 
Movimento: R63     | 37 -> 00 <-- ZERO
Movimento: L272    | 00 -> 28 
Movimento: R972    | 28 -> 00 <-- ZERO
Movimento: L964    | 00 -> 36 
Movimento: L41     | 36 -> 95 
Movimento: L1      | 95 -> 94 
Movimento: L94     | 94 -> 00 <-- ZERO
Movimento: R36     | 00 -> 36 
Movimento: L68     | 36 -> 68 
Movimento: L606    | 68 -> 62 
